iter	Passed	Remaining
0	68	13728
1	157	15633
2	230	15114
3	295	14496
4	362	14140
5	429	13899
6	498	13731
7	550	13221
8	574	12191
9	642	12209
10	711	12217
11	777	12187
12	847	12192
13	913	12140
14	975	12027
15	1045	12021
16	1074	11566
17	1142	11555
18	1206	11496
19	1275	11479
20	1341	11430
21	1407	11390
22	1471	11327
23	1540	11298
24	1611	11282
25	1678	11235
26	1744	11176
27	1809	11116
28	1874	11051
29	1940	10995
30	2005	10933
31	2070	10868
32	2135	10807
33	2202	10751
34	2267	10691
35	2333	10631
36	2399	10569
37	2463	10504
38	2530	10444
39	2604	10419
40	2669	10353
41	2738	10300
42	2807	10251
43	2878	10205
44	2947	10152
45	3019	10107
46	3088	10053
47	3156	9995
48	3224	9936
49	3288	9866
50	3356	9806
51	3424	9745
52	3491	9684
53	3561	9629
54	3631	9575
55	3697	9508
56	3761	9437
57	3828	9373
58	3892	9303
59	3959	9237
60	4027	9178
61	4095	9115
62	4164	9055
63	4232	8994
64	4301	8934
65	4367	8867
66	4400	8734
67	4464	8665
68	4533	8606
69	4603	8549
70	4670	8485
71	4737	8422
72	4808	8364
73	4875	8302
74	4943	8239
75	5013	8180
76	5078	8112
77	5144	8045
78	5210	7980
79	5280	7921
80	5351	7862
81	5423	7804
82	5491	7740
83	5558	7676
84	5630	7617
85	5706	7565
86	5776	7502
87	5847	7442
88	5917	7379
89	5984	7313
90	6050	7247
91	6123	7188
92	6194	7127
93	6262	7062
94	6328	6994
95	6394	6927
96	6460	6860
97	6527	6794
98	6599	6732
99	6668	6668
100	6735	6602
101	6803	6536
102	6869	6469
103	6937	6403
104	7004	6337
105	7069	6269
106	7134	6201
107	7203	6136
108	7271	6070
109	7339	6005
110	7406	5938
111	7475	5873
112	7544	5808
113	7616	5745
114	7682	5678
115	7749	5611
116	7815	5544
117	7881	5477
118	7948	5410
119	8015	5343
120	8083	5277
121	8148	5209
122	8215	5142
123	8281	5075
124	8348	5009
125	8418	4944
126	8486	4878
127	8555	4812
128	8630	4750
129	8698	4683
130	8766	4617
131	8830	4548
132	8898	4482
133	8966	4416
134	9036	4350
135	9105	4284
136	9172	4218
137	9241	4151
138	9307	4084
139	9373	4017
140	9441	3950
141	9508	3883
142	9575	3816
143	9641	3749
144	9711	3683
145	9782	3618
146	9851	3551
147	9917	3484
148	9993	3420
149	10065	3355
150	10133	3288
151	10200	3221
152	10267	3154
153	10334	3087
154	10402	3019
155	10468	2952
156	10534	2885
157	10608	2819
158	10677	2753
159	10742	2685
160	10809	2618
161	10877	2551
162	10943	2484
163	11014	2417
164	11085	2351
165	11151	2284
166	11219	2217
167	11287	2149
168	11348	2081
169	11414	2014
170	11477	1946
171	11543	1879
172	11611	1812
173	11678	1745
174	11744	1677
175	11810	1610
176	11876	1543
177	11943	1476
178	12009	1408
179	12074	1341
180	12140	1274
181	12209	1207
182	12274	1140
183	12338	1072
184	12406	1005
185	12473	938
186	12541	871
187	12617	805
188	12685	738
189	12750	671
190	12816	603
191	12885	536
192	12951	469
193	13018	402
194	13084	335
195	13157	268
196	13222	201
197	13290	134
198	13354	67
199	13422	0
